genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
dance,I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),2022-08-26,175238,87,1,spotify:track:4uUG5RXrOk84mYEfFvj3cK
dance,"What Is Love - 7"" Mix",Haddaway,The Album,1993-09-13,270373,83,1,spotify:track:0OTO8ZF2YqFQVw9hnZylTd
dance,EL MAYOR DE LOS RANAS (Latin Tech),facunditoo deejay,EL MAYOR DE LOS RANAS (Latin Tech),2025-05-05,168004,57,1,spotify:track:3p9GlykG8FKIjAmpAcybLW
dance,"Freed From Desire - prod. Molella, Phil Jay","Gala, Molella, Phil Jay",Come Into My Life (The Album),1997-11-17,213394,81,10,spotify:track:3u5N55tHf7hXATSQrjBh2q
dance,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",Motion,2014-10-31,227266,87,6,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb
dance,I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",I Adore You (feat. Daecolm),2024-07-19,214000,89,1,spotify:track:5nPbKG04fhLkIAjcPFaZq7
dance,Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",One More Love,2010-11-22,210093,83,4,spotify:track:7fLzbEOBOae9lUnOwr7Tse
dance,Sexy Bitch (feat. Akon),"David Guetta, Akon",One More Love,2010-11-22,195853,82,3,spotify:track:2dGxjfhFXDIUX9h5ImyKkE
dance,Show Me Love,"WizTheMc, bees & honey",Show Me Love,2025-02-07,176965,92,1,spotify:track:5ITV0zqzjOYfFWpW0xBmRa
dance,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),2024-07-19,145599,85,1,spotify:track:4MSj19TwYBLgDFj3ddEeco
dance,Are You With Me,Lost Frequencies,Less Is More,2016-10-21,138013,83,12,spotify:track:4255amV4enzl28KAn16rUO
dance,World Hold On (Children Of The Sky) - FISHER Rework,"Bob Sinclar, FISHER, Steve Edwards",World Hold On (Children Of The Sky) [FISHER Rework],2022-07-08,178304,79,1,spotify:track:6kTwzV93qpcovlRPmBOXmn
dance,Summer,Calvin Harris,Motion,2014-10-31,222533,87,8,spotify:track:6YUTL4dYpB9xZO5qExPf05
dance,Feel So Close - Radio Edit,Calvin Harris,18 Months,2012-10-29,206413,85,3,spotify:track:1gihuPhrLraKYrJMAEONyc
dance,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,2024-06-07,177598,87,1,spotify:track:1BJJbSX6muJVF2AK7uH1x4
dance,The Sound of Silence - CYRIL Remix,"Disturbed, CYRIL",The Sound of Silence (CYRIL Remix),2024-02-02,185238,84,1,spotify:track:1LY3GhF0zxIVgbYEQjCbUO
dance,You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",You & Me (Rivo Remix),2023-12-22,208524,84,1,spotify:track:0xoYZ45fgTfyQYREZPN7Sa
dance,Blessings,"Calvin Harris, Clementine Douglas",Blessings,2025-05-09,219650,89,1,spotify:track:78nx0HDJIFD5xDq2L5420Z
dance,CHINGON,"Martinwhite, NEMJ",CHINGON,2024-07-19,134778,69,1,spotify:track:6UNLWd8LUk9nNgmU6AcXct
dance,Blame (feat. John Newman),"Calvin Harris, John Newman",Motion,2014-10-31,212960,83,3,spotify:track:07nH4ifBxUB4lZcsf44Brn
dance,GUARACHETTE,"Martinwhite, Dj Rocka",GUARACHETTE,2024-04-26,162461,64,1,spotify:track:0Yzdl9AZTuvEmKOmNJye89
dance,Live Forever,Oasis,Definitely Maybe,1994-08-29,276866,71,3,spotify:track:1KgfeuVn5OlsBEtoEmBa1t
dance,Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",Sugar,2015-09-25,219043,83,2,spotify:track:5tf1VVWniHgryyumXyJM7w
dance,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,Greatest,1979-01-01,285373,81,5,spotify:track:3mRM4NM8iO7UBqrSigCQFH
dance,Waiting For Love,Avicii,Stories,2015-10-02,230613,83,1,spotify:track:2P4OICZRVAQcYAV2JReRfj
dance,Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",Random Access Memories,2013-05-20,337560,79,5,spotify:track:2cGxRwrMyEAp8dEbuZaVv6
dance,All That She Wants,Ace of Base,The Sign,1993-12-24,211213,82,1,spotify:track:6kWJvPfC4DgUpRsXKNa9z9
dance,MARTINWHITE | DJ TAO Turreo Sessions #28,"DJ Tao, Martinwhite",MARTINWHITE | DJ TAO Turreo Sessions #28,2025-05-01,138009,64,1,spotify:track:4r17F7bDkjMgTxLtPQk8pp
dance,Tarzan Boy,Baltimora,Living In The Background,1985-01-01,378946,74,1,spotify:track:273uCXd7NPrInaiNqtkOrA
dance,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,The Queen Is Dead,1986-06-16,244586,84,9,spotify:track:0WQiDwKJclirSYG9v5tayI
dance,Lady - Hear Me Tonight,Modjo,Modjo (Remastered),2001,307153,83,3,spotify:track:49X0LAl6faAusYq02PRAY6
dance,Can't Get You out of My Head,Kylie Minogue,Fever,2001-10-01,230640,82,3,spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7
dance,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),2018-04-06,214846,82,1,spotify:track:7ef4DlsgrMEH11cDZd32M6
dance,One More Time,Daft Punk,Discovery,2001-03-12,320357,80,1,spotify:track:0DiWol3AO6WpXZgp0goxAV
dance,Buscando Money,"TWENTY SIX, Tayson Kryss",Buscando Money,2024-02-23,150000,70,1,spotify:track:6vsKOJPjdxlYgRs8McgtCQ
dance,Stumblin' In,CYRIL,Stumblin' In,2023-11-10,213363,86,1,spotify:track:0h3Xy4V4apMraB5NuM8U7Z
dance,Catch & Release - Deepend Remix,"Matt Simons, Deepend",When The Lights Go Down,2015-09-30,195173,75,6,spotify:track:11BAVEGi1ivJ6JWLqKUNrZ
dance,Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",Prayer in C,2014-05-16,189413,79,1,spotify:track:5fnA9mkIfScSqHIpeDyvck
