genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
electronic,"Freed From Desire - prod. Molella, Phil Jay","Gala, Molella, Phil Jay",Come Into My Life (The Album),1997-11-17,213394,81,10,spotify:track:3u5N55tHf7hXATSQrjBh2q
electronic,LOS VOLTAJE,"Sayfalse, Yb Wasg'ood, Ariis",LOS VOLTAJE,2025-04-11,99285,85,1,spotify:track:4LkkRLP8pldQer1YRrHwkx
electronic,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",Motion,2014-10-31,227266,87,6,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb
electronic,MENTE MÁ,"Nakama, Mc Staff",MENTE MÁ,2025-05-16,75302,84,1,spotify:track:11gZL0HigsqfzjTHOpdFjE
electronic,Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",One More Love,2010-11-22,210093,83,4,spotify:track:7fLzbEOBOae9lUnOwr7Tse
electronic,Funk de Beleza - Slowed,"Nateki, Scythermane, MC MAYAH",Funk de Beleza,2024-10-04,145115,82,2,spotify:track:43jExF2HeZ6cJIGrWF0ie4
electronic,Sexy Bitch (feat. Akon),"David Guetta, Akon",One More Love,2010-11-22,195853,82,3,spotify:track:2dGxjfhFXDIUX9h5ImyKkE
electronic,MONTAGEM TOMADA - Slowed,MXZI,MONTAGEM TOMADA,2025-03-21,84901,84,2,spotify:track:2HJQm4T3Pk2zvxoFhlnGjR
electronic,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),2024-07-19,145599,85,1,spotify:track:4MSj19TwYBLgDFj3ddEeco
electronic,Are You With Me,Lost Frequencies,Less Is More,2016-10-21,138013,83,12,spotify:track:4255amV4enzl28KAn16rUO
electronic,MONTAGEM TOMADA,MXZI,MONTAGEM TOMADA,2025-03-21,71392,83,1,spotify:track:2UEyo3ufg8DvO0zYMJWG7R
electronic,The Nights,Avicii,The Days / Nights,2014-01-01,176658,86,2,spotify:track:0ct6r3EGTcMLPtrXHDvVjc
electronic,Summer,Calvin Harris,Motion,2014-10-31,222533,87,8,spotify:track:6YUTL4dYpB9xZO5qExPf05
electronic,Feel So Close - Radio Edit,Calvin Harris,18 Months,2012-10-29,206413,86,3,spotify:track:1gihuPhrLraKYrJMAEONyc
electronic,The Sound of Silence - CYRIL Remix,"Disturbed, CYRIL",The Sound of Silence (CYRIL Remix),2024-02-02,185238,84,1,spotify:track:1LY3GhF0zxIVgbYEQjCbUO
electronic,You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",You & Me (Rivo Remix),2023-12-22,208524,84,1,spotify:track:0xoYZ45fgTfyQYREZPN7Sa
electronic,Blessings,"Calvin Harris, Clementine Douglas",Blessings,2025-05-09,219650,89,1,spotify:track:78nx0HDJIFD5xDq2L5420Z
electronic,Blame (feat. John Newman),"Calvin Harris, John Newman",Motion,2014-10-31,212960,83,3,spotify:track:07nH4ifBxUB4lZcsf44Brn
electronic,Live Forever,Oasis,Definitely Maybe,1994-08-29,276866,71,3,spotify:track:1KgfeuVn5OlsBEtoEmBa1t
electronic,Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",Sugar,2015-09-25,219043,83,2,spotify:track:5tf1VVWniHgryyumXyJM7w
electronic,Waiting For Love,Avicii,Stories,2015-10-02,230613,83,1,spotify:track:2P4OICZRVAQcYAV2JReRfj
electronic,All That She Wants,Ace of Base,The Sign,1993-12-24,211213,82,1,spotify:track:6kWJvPfC4DgUpRsXKNa9z9
